origin,step,model,actual,pred,series
97,1,hgb_lags,245840.96,223182.99191697303,paid
97,2,hgb_lags,251732.8,184832.96052778463,paid
97,3,hgb_lags,170149.82,163406.28903498294,paid
97,4,hgb_lags,134455.87,179481.98117229258,paid
97,1,ensemble,245840.96,248769.71332707314,paid
97,2,ensemble,251732.8,193427.81698189222,paid
97,3,ensemble,170149.82,123121.60837603215,paid
97,4,ensemble,134455.87,160869.01224927686,paid
98,1,naive,251732.8,245840.96,paid
98,2,naive,170149.82,245840.96,paid
98,3,naive,134455.87,245840.96,paid
98,4,naive,134108.33000000002,245840.96,paid
98,1,seasonal_naive,251732.8,243731.16999999998,paid
98,2,seasonal_naive,170149.82,86154.5,paid
98,3,seasonal_naive,134455.87,160237.43,paid
98,4,seasonal_naive,134108.33000000002,151501.35,paid
98,1,moving_avg_4w,251732.8,124030.79499999998,paid
98,2,moving_avg_4w,170149.82,124030.79499999998,paid
98,3,moving_avg_4w,134455.87,124030.79499999998,paid
98,4,moving_avg_4w,134108.33000000002,124030.79499999998,paid
98,1,holt_damped,251732.8,155881.24243379603,paid
98,2,holt_damped,170149.82,156392.59284452014,paid
98,3,holt_damped,134455.87,156898.829751137,paid
98,4,holt_damped,134108.33000000002,157400.0042886877,paid
98,1,ridge_fourier,251732.8,142664.00900517378,paid
98,2,ridge_fourier,170149.82,160387.20899068078,paid
98,3,ridge_fourier,134455.87,158645.40043561836,paid
98,4,ridge_fourier,134108.33000000002,188820.87970566325,paid
98,1,hgb_lags,251732.8,205080.7201076515,paid
98,2,hgb_lags,170149.82,158160.77437836802,paid
98,3,hgb_lags,134455.87,189437.31869042251,paid
98,4,hgb_lags,134108.33000000002,178036.5027807855,paid
98,1,ensemble,251732.8,193197.58950258687,paid
98,2,ensemble,170149.82,123270.85449534039,paid
98,3,ensemble,134455.87,159441.41521780918,paid
98,4,ensemble,134108.33000000002,170161.11485283164,paid
99,1,naive,170149.82,251732.8,paid
99,2,naive,134455.87,251732.8,paid
99,3,naive,134108.33000000002,251732.8,paid
99,4,naive,199531.47,251732.8,paid
99,1,seasonal_naive,170149.82,86154.5,paid
99,2,seasonal_naive,134455.87,160237.43,paid
99,3,seasonal_naive,134108.33000000002,151501.35,paid
99,4,seasonal_naive,199531.47,203472.86,paid
99,1,moving_avg_4w,170149.82,173541.0725,paid
99,2,moving_avg_4w,134455.87,173541.0725,paid
99,3,moving_avg_4w,134108.33000000002,173541.0725,paid
99,4,moving_avg_4w,199531.47,173541.0725,paid
99,1,holt_damped,170149.82,174790.048690385,paid
99,2,holt_damped,134455.87,175893.91186327435,paid
99,3,holt_damped,134108.33000000002,176986.73640443478,paid
99,4,holt_damped,199531.47,178068.6327001836,paid
99,1,ridge_fourier,170149.82,162271.11256241705,paid
99,2,ridge_fourier,134455.87,154816.7581522503,paid
99,3,ridge_fourier,134108.33000000002,176022.78684504726,paid
99,4,ridge_fourier,199531.47,181782.81746272277,paid
99,1,hgb_lags,170149.82,184872.87555290738,paid
99,2,hgb_lags,134455.87,140834.1259608005,paid
99,3,hgb_lags,134108.33000000002,186637.12399205912,paid
99,4,hgb_lags,199531.47,149732.95334317264,paid
99,1,ensemble,170149.82,124212.80628120853,paid
99,2,ensemble,134455.87,157527.09407612513,paid
99,3,ensemble,134108.33000000002,163762.06842252362,paid
99,4,ensemble,199531.47,192627.83873136138,paid
100,1,naive,134455.87,170149.82,paid
100,2,naive,134108.33000000002,170149.82,paid
100,3,naive,199531.47,170149.82,paid
100,4,naive,146871.94,170149.82,paid
100,1,seasonal_naive,134455.87,160237.43,paid
100,2,seasonal_naive,134108.33000000002,151501.35,paid
100,3,seasonal_naive,199531.47,203472.86,paid
100,4,seasonal_naive,146871.94,64474.99,paid
100,1,moving_avg_4w,134455.87,193031.39,paid
100,2,moving_avg_4w,134108.33000000002,193031.39,paid
100,3,moving_avg_4w,199531.47,193031.39,paid
100,4,moving_avg_4w,146871.94,193031.39,paid
100,1,holt_damped,134455.87,175214.3825382956,paid
100,2,holt_damped,134108.33000000002,176307.14048537973,paid
100,3,holt_damped,199531.47,177388.970852993,paid
100,4,holt_damped,146871.94,178459.9829169301,paid
100,1,ridge_fourier,134455.87,155101.8457506297,paid
100,2,ridge_fourier,134108.33000000002,175665.53633149847,paid
100,3,ridge_fourier,199531.47,180820.46440152958,paid
100,4,ridge_fourier,146871.94,206682.759954747,paid
100,1,hgb_lags,134455.87,138398.81150298443,paid
100,2,hgb_lags,134108.33000000002,152564.47254307222,paid
100,3,hgb_lags,199531.47,137092.63820828192,paid
100,4,hgb_lags,146871.94,178383.9471160803,paid
100,1,ensemble,134455.87,157669.63787531486,paid
100,2,ensemble,134108.33000000002,163583.44316574925,paid
100,3,ensemble,199531.47,192146.66220076478,paid
100,4,ensemble,146871.94,135578.8749773735,paid
89,1,naive,97.0,90.0,claims
89,2,naive,93.0,90.0,claims
89,3,naive,92.0,90.0,claims
89,4,naive,101.0,90.0,claims
89,1,seasonal_naive,97.0,89.0,claims
89,2,seasonal_naive,93.0,71.0,claims
89,3,seasonal_naive,92.0,82.0,claims
89,4,seasonal_naive,101.0,95.0,claims
89,1,moving_avg_4w,97.0,85.0,claims
89,2,moving_avg_4w,93.0,85.0,claims
89,3,moving_avg_4w,92.0,85.0,claims
89,4,moving_avg_4w,101.0,85.0,claims
89,1,holt_damped,97.0,83.30524508245097,claims
89,2,holt_damped,93.0,83.19802505009062,claims
89,3,holt_damped,92.0,83.09134111789209,claims
89,4,holt_damped,101.0,82.98519060535455,claims
89,1,ridge_fourier,97.0,82.01857350322419,claims
89,2,ridge_fourier,93.0,85.64223955976638,claims
89,3,ridge_fourier,92.0,92.95857540076437,claims
89,4,ridge_fourier,101.0,91.18365976692999,claims
89,1,hgb_lags,97.0,79.8466899967997,claims
89,2,hgb_lags,93.0,79.64888539657707,claims
89,3,hgb_lags,92.0,88.76811745392784,claims
89,4,hgb_lags,101.0,86.86817480936818,claims
89,1,ensemble,97.0,85.5092867516121,claims
89,2,ensemble,93.0,78.32111977988319,claims
89,3,ensemble,92.0,87.47928770038219,claims
89,4,ensemble,101.0,93.091829883465,claims
90,1,naive,93.0,97.0,claims
90,2,naive,92.0,97.0,claims
90,3,naive,101.0,97.0,claims
90,4,naive,91.0,97.0,claims
90,1,seasonal_naive,93.0,71.0,claims
90,2,seasonal_naive,92.0,82.0,claims
90,3,seasonal_naive,101.0,95.0,claims
90,4,seasonal_naive,91.0,95.0,claims
90,1,moving_avg_4w,93.0,87.0,claims
90,2,moving_avg_4w,92.0,87.0,claims
90,3,moving_avg_4w,101.0,87.0,claims
90,4,moving_avg_4w,91.0,87.0,claims
90,1,holt_damped,93.0,87.82917236017084,claims
90,2,holt_damped,92.0,87.75676616944078,claims
90,3,holt_damped,101.0,87.68472200966437,claims
90,4,holt_damped,91.0,87.61303807068686,claims
90,1,ridge_fourier,93.0,85.60236151457781,claims
90,2,ridge_fourier,92.0,92.362839024781,claims
90,3,ridge_fourier,101.0,92.28630340409795,claims
90,4,ridge_fourier,91.0,95.32797487688916,claims
90,1,hgb_lags,93.0,86.4282724894257,claims
90,2,hgb_lags,92.0,92.08218379150236,claims
90,3,hgb_lags,101.0,93.5328063951918,claims
90,4,hgb_lags,91.0,98.88129917409807,claims
90,1,ensemble,93.0,78.3011807572889,claims
90,2,ensemble,92.0,87.1814195123905,claims
90,3,ensemble,101.0,93.64315170204898,claims
90,4,ensemble,91.0,95.16398743844458,claims
91,1,naive,92.0,93.0,claims
91,2,naive,101.0,93.0,claims
91,3,naive,91.0,93.0,claims
91,4,naive,79.0,93.0,claims
91,1,seasonal_naive,92.0,82.0,claims
91,2,seasonal_naive,101.0,95.0,claims
91,3,seasonal_naive,91.0,95.0,claims
91,4,seasonal_naive,79.0,83.0,claims
91,1,moving_avg_4w,92.0,88.75,claims
91,2,moving_avg_4w,101.0,88.75,claims
91,3,moving_avg_4w,91.0,88.75,claims
91,4,moving_avg_4w,79.0,88.75,claims
91,1,holt_damped,92.0,89.55997610680087,claims
91,2,holt_damped,101.0,89.501571796405,claims
91,3,holt_damped,91.0,89.4434595075611,claims
91,4,holt_damped,79.0,89.38563778016142,claims
91,1,ridge_fourier,92.0,92.37842957640547,claims
91,2,ridge_fourier,101.0,91.96398447813006,claims
91,3,ridge_fourier,91.0,95.70585444583743,claims
91,4,ridge_fourier,79.0,100.3056497619162,claims
91,1,hgb_lags,92.0,93.53156630456414,claims
91,2,hgb_lags,101.0,95.65857031990346,claims
91,3,hgb_lags,91.0,98.72203592759664,claims
91,4,hgb_lags,79.0,98.07119460325069,claims
91,1,ensemble,92.0,87.18921478820273,claims
91,2,ensemble,101.0,93.48199223906502,claims
91,3,ensemble,91.0,95.35292722291871,claims
91,4,ensemble,79.0,91.6528248809581,claims
92,1,naive,101.0,92.0,claims
92,2,naive,91.0,92.0,claims
92,3,naive,79.0,92.0,claims
92,4,naive,89.0,92.0,claims
92,1,seasonal_naive,101.0,95.0,claims
92,2,seasonal_naive,91.0,95.0,claims
92,3,seasonal_naive,79.0,83.0,claims
92,4,seasonal_naive,89.0,113.0,claims
92,1,moving_avg_4w,101.0,93.0,claims
92,2,moving_avg_4w,91.0,93.0,claims
92,3,moving_avg_4w,79.0,93.0,claims
92,4,moving_avg_4w,89.0,93.0,claims
92,1,holt_damped,101.0,90.35443917139422,claims
92,2,holt_damped,91.0,90.30274707946963,claims
92,3,holt_damped,79.0,90.25131344800465,claims
92,4,holt_damped,89.0,90.20013698469701,claims
92,1,ridge_fourier,101.0,91.95607042905323,claims
92,2,ridge_fourier,91.0,95.72857993805661,claims
92,3,ridge_fourier,79.0,100.293090699057,claims
92,4,ridge_fourier,89.0,102.38280213211638,claims
92,1,hgb_lags,101.0,94.62728229502302,claims
92,2,hgb_lags,91.0,98.79384131552841,claims
92,3,hgb_lags,79.0,98.21052447655448,claims
92,4,hgb_lags,89.0,105.45358326811244,claims
92,1,ensemble,101.0,93.47803521452661,claims
92,2,ensemble,91.0,95.3642899690283,claims
92,3,ensemble,79.0,91.64654534952851,claims
